flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h7,h33,1389,1389,34
h7,h90,1346,1346,34
h2,h131,80,80,33
h2,h23,1149,1149,33
h21,h35,933,933,33
h22,h49,998,998,33
h24,h44,803,803,33
h26,h89,1230,1230,33
h27,h127,433,433,33
h28,h20,812,812,33
h30,h128,922,922,33
h8,h25,136,136,33
h12,h132,562,562,32
h12,h141,858,858,32
h13,h85,1308,1308,32
h14,h106,927,927,32
h15,h125,616,616,32
h21,h103,804,804,32
h21,h33,385,385,32
h24,h7,266,266,32
h25,h113,951,951,32
h27,h28,758,758,32
h30,h103,268,268,32
h30,h23,1174,1174,32
h31,h18,888,888,32
h31,h92,323,323,32
h4,h78,494,494,32
h8,h29,127,127,32
h8,h43,444,444,32
h9,h54,156,156,32
h9,h91,496,496,32
h1,h56,497,497,31
h11,h115,1011,1011,31
h11,h52,326,326,31
h12,h56,1408,1408,31
h13,h128,1018,1018,31
h13,h69,845,845,31
h15,h59,949,949,31
h17,h105,627,627,31
h18,h91,529,529,31
h2,h139,1225,1225,31
h25,h108,551,551,31
h31,h76,328,328,31
h32,h69,1412,1412,31
h5,h35,536,536,31
h6,h70,1425,1425,31
h7,h41,779,779,31
h9,h54,1208,1208,31
h1,h70,830,830,30
h10,h40,1496,1496,30
h10,h70,125,125,30
h12,h56,589,589,30
h19,h112,1378,1378,30
h2,h121,730,730,30
h28,h137,702,702,30
h3,h101,1513,1513,30
h3,h31,1375,1375,30
h30,h24,905,905,30
h31,h119,754,754,30
h32,h58,429,429,30
h5,h28,674,674,30
h6,h18,30,30,30
h7,h100,1469,1469,30
h7,h108,424,424,30
h8,h30,540,540,30
h9,h116,317,317,30
h9,h96,1029,1029,30
h1,h65,1344,1344,29
h10,h9,1168,1168,29
h10,h90,1176,1176,29
h13,h70,1022,1022,29
h19,h112,356,356,29
h22,h106,28,28,29
h22,h142,620,620,29
h23,h22,1330,1330,29
h24,h67,1396,1396,29
h25,h9,1270,1270,29
h28,h85,1363,1363,29
h29,h120,1511,1511,29
h3,h100,683,683,29
h32,h118,213,213,29
h8,h121,2,2,29
h9,h16,781,781,29
h12,h111,1113,1113,28
h12,h130,866,866,28
h13,h93,344,344,28
h13,h97,341,341,28
h17,h83,1226,1226,28
h24,h38,292,292,28
h27,h131,559,559,28
h28,h105,1091,1091,28
h29,h83,1044,1044,28
h29,h89,384,384,28
h4,h55,1059,1059,28
h8,h141,1106,1106,28
h1,h128,214,214,27
h10,h34,666,666,27
h13,h53,301,301,27
h13,h56,410,410,27
h15,h68,45,45,27
h15,h8,1304,1304,27
h16,h141,463,463,27
h18,h134,832,832,27
h18,h98,74,74,27
h19,h27,460,460,27
h2,h22,1361,1361,27
h26,h117,737,737,27
h27,h137,1433,1433,27
h27,h138,750,750,27
h27,h28,1067,1067,27
h27,h48,1089,1089,27
h3,h71,775,775,27
h30,h40,1193,1193,27
h6,h13,1259,1259,27
h12,h77,600,600,26
h16,h6,636,636,26
h19,h114,978,978,26
h2,h71,884,884,26
h21,h121,1370,1370,26
h23,h54,318,318,26
h25,h92,817,817,26
h26,h30,762,762,26
h27,h132,47,47,26
h28,h131,1215,1215,26
h29,h124,1223,1223,26
h3,h100,438,438,26
h8,h35,1207,1207,26
h8,h76,1245,1245,26
h8,h93,1132,1132,26
h11,h62,1322,1322,25
h12,h80,321,321,25
h13,h131,588,588,25
h13,h35,531,531,25
h15,h133,1397,1397,25
h18,h111,948,948,25
h23,h6,42,42,25
h27,h51,908,908,25
h31,h87,93,93,25
h32,h106,818,818,25
h32,h133,430,430,25
h32,h42,150,150,25
h4,h15,526,526,25
h5,h20,800,800,25
h7,h105,475,475,25
h8,h92,1139,1139,25
h12,h131,997,997,24
h15,h45,1475,1475,24
h18,h134,739,739,24
h19,h47,915,915,24
h20,h92,1009,1009,24
h21,h122,25,25,24
h21,h143,1239,1239,24
h25,h24,814,814,24
h25,h32,885,885,24
h28,h68,977,977,24
h4,h113,648,648,24
h5,h99,265,265,24
h6,h42,1186,1186,24
h7,h15,457,457,24
h8,h102,764,764,24
h8,h70,1341,1341,24
h11,h30,360,360,23
h2,h65,1409,1409,23
h20,h36,316,316,23
h3,h126,1056,1056,23
h4,h1,345,345,23
h6,h65,1194,1194,23
h10,h127,965,965,22
h11,h8,1083,1083,22
h14,h84,777,777,22
h16,h129,330,330,22
h17,h16,162,162,22
h24,h84,1285,1285,22
h28,h32,434,434,22
h32,h29,517,517,22
h4,h117,378,378,22
h6,h102,1379,1379,22
h6,h111,1257,1257,22
h6,h43,1484,1484,22
h6,h55,414,414,22
h6,h76,865,865,22
h8,h114,534,534,22
h9,h22,485,485,22
h11,h119,256,256,21
h19,h28,462,462,21
h2,h46,124,124,21
h29,h105,1462,1462,21
h32,h98,411,411,21
h5,h25,1278,1278,21
h6,h144,612,612,21
h8,h77,1211,1211,21
h17,h85,640,640,20
h19,h109,490,490,20
h2,h81,1043,1043,20
h20,h80,852,852,20
h25,h60,1387,1387,20
h28,h29,1037,1037,20
h3,h139,1065,1065,20
h30,h17,518,518,20
h5,h116,1473,1473,20
h7,h58,610,610,20
h9,h15,7,7,20
h11,h2,676,676,19
h11,h71,935,935,19
h13,h97,996,996,19
h17,h113,1236,1236,19
h18,h55,732,732,19
h2,h128,114,114,19
h22,h13,649,649,19
h32,h19,1048,1048,19
h32,h39,1459,1459,19
h9,h120,329,329,19
h9,h79,1172,1172,19
h11,h82,355,355,18
h20,h123,678,678,18
h1,h38,392,392,17
h10,h70,984,984,17
h11,h15,311,311,17
h15,h10,453,453,17
h19,h31,570,570,17
h19,h79,1443,1443,17
h21,h98,57,57,17
h25,h70,95,95,17
h27,h115,35,35,17
h3,h66,82,82,17
h30,h130,435,435,17
h5,h37,887,887,17
h6,h54,1367,1367,17
h7,h72,182,182,17
h9,h34,738,738,17
h11,h1,1450,1450,16
h11,h117,456,456,16
h21,h35,1232,1232,16
h25,h82,216,216,16
h26,h57,615,615,16
h27,h40,1247,1247,16
h4,h45,820,820,16
h8,h86,880,880,16
h1,h91,177,177,15
h10,h40,1081,1081,15
h22,h24,729,729,15
h3,h42,916,916,15
h31,h26,630,630,15
h4,h5,94,94,15
h11,h24,651,651,14
h18,h70,132,132,14
h19,h112,171,171,14
h23,h68,375,375,14
h3,h133,1508,1508,14
h31,h132,1306,1306,14
h31,h63,396,396,14
h19,h35,486,486,13
h10,h32,1070,1070,12
h10,h94,492,492,12
h12,h78,848,848,12
h15,h48,160,160,11
h18,h33,144,144,11
h18,h95,467,467,11
h15,h90,426,426,10
h7,h121,799,799,10
h22,h42,1213,1213,9
h4,h123,816,816,9
h5,h140,106,106,9
h8,h131,236,236,9
h29,h133,1001,1001,8
h1,h17,1017,1017,7
h16,h57,374,374,7
h2,h80,1286,1286,7
h31,h117,338,338,7
h31,h129,36,36,7
h11,h48,692,692,6
h18,h115,644,644,5
h10,h66,343,343,4
h11,h84,346,346,4
h4,h105,253,253,4
h23,h45,926,926,3
h32,h121,357,357,3
h28,h10,86,86,1
h29,h47,1012,1012,1
