87, src: h78, dst: h144, sport: 88, dport: 88, flowsize: 20, starttime: 1000, finishtime: 1395, fct: 395, recvtput: 5.06 Gbps, sendtput: 5.46 Gbps

68, src: h55, dst: h144, sport: 69, dport: 69, flowsize: 20, starttime: 1000, finishtime: 1398, fct: 398, recvtput: 5.03 Gbps, sendtput: 5.42 Gbps

71, src: h58, dst: h144, sport: 72, dport: 72, flowsize: 20, starttime: 1000, finishtime: 1399, fct: 399, recvtput: 5.01 Gbps, sendtput: 5.41 Gbps

81, src: h72, dst: h144, sport: 82, dport: 82, flowsize: 20, starttime: 1000, finishtime: 1401, fct: 401, recvtput: 4.99 Gbps, sendtput: 5.38 Gbps

54, src: h37, dst: h144, sport: 55, dport: 55, flowsize: 20, starttime: 1000, finishtime: 1404, fct: 404, recvtput: 4.95 Gbps, sendtput: 5.33 Gbps

41, src: h16, dst: h144, sport: 42, dport: 42, flowsize: 20, starttime: 1000, finishtime: 1405, fct: 405, recvtput: 4.94 Gbps, sendtput: 5.32 Gbps

72, src: h59, dst: h144, sport: 73, dport: 73, flowsize: 20, starttime: 1000, finishtime: 1406, fct: 406, recvtput: 4.93 Gbps, sendtput: 5.31 Gbps

57, src: h40, dst: h144, sport: 58, dport: 58, flowsize: 20, starttime: 1000, finishtime: 1408, fct: 408, recvtput: 4.9 Gbps, sendtput: 5.28 Gbps

91, src: h86, dst: h144, sport: 92, dport: 92, flowsize: 20, starttime: 1000, finishtime: 1410, fct: 410, recvtput: 4.88 Gbps, sendtput: 5.24 Gbps

65, src: h48, dst: h144, sport: 66, dport: 66, flowsize: 20, starttime: 1000, finishtime: 2421, fct: 1421, recvtput: 1.41 Gbps, sendtput: 1.43 Gbps

61, src: h44, dst: h144, sport: 62, dport: 62, flowsize: 20, starttime: 1000, finishtime: 2429, fct: 1429, recvtput: 1.4 Gbps, sendtput: 1.43 Gbps

55, src: h38, dst: h144, sport: 56, dport: 56, flowsize: 20, starttime: 1000, finishtime: 2439, fct: 1439, recvtput: 1.39 Gbps, sendtput: 1.42 Gbps

53, src: h32, dst: h144, sport: 54, dport: 54, flowsize: 20, starttime: 1000, finishtime: 2443, fct: 1443, recvtput: 1.39 Gbps, sendtput: 1.41 Gbps

78, src: h69, dst: h144, sport: 79, dport: 79, flowsize: 20, starttime: 1000, finishtime: 2448, fct: 1448, recvtput: 1.38 Gbps, sendtput: 1.41 Gbps

90, src: h85, dst: h144, sport: 91, dport: 91, flowsize: 20, starttime: 1000, finishtime: 2451, fct: 1451, recvtput: 1.38 Gbps, sendtput: 1.4 Gbps

109, src: h108, dst: h144, sport: 110, dport: 110, flowsize: 20, starttime: 1000, finishtime: 2455, fct: 1455, recvtput: 1.37 Gbps, sendtput: 1.4 Gbps

101, src: h96, dst: h144, sport: 102, dport: 102, flowsize: 20, starttime: 1000, finishtime: 2463, fct: 1463, recvtput: 1.37 Gbps, sendtput: 1.39 Gbps

30, src: h5, dst: h144, sport: 31, dport: 31, flowsize: 20, starttime: 1000, finishtime: 2556, fct: 1556, recvtput: 1.29 Gbps, sendtput: 1.3 Gbps

42, src: h21, dst: h144, sport: 43, dport: 43, flowsize: 20, starttime: 1000, finishtime: 2558, fct: 1558, recvtput: 1.28 Gbps, sendtput: 1.3 Gbps

44, src: h23, dst: h144, sport: 45, dport: 45, flowsize: 20, starttime: 1000, finishtime: 2560, fct: 1560, recvtput: 1.28 Gbps, sendtput: 1.3 Gbps

84, src: h75, dst: h144, sport: 85, dport: 85, flowsize: 20, starttime: 1000, finishtime: 2564, fct: 1564, recvtput: 1.28 Gbps, sendtput: 1.3 Gbps

120, src: h121, dst: h144, sport: 121, dport: 121, flowsize: 20, starttime: 1000, finishtime: 2568, fct: 1568, recvtput: 1.28 Gbps, sendtput: 1.29 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 20, starttime: 1000, finishtime: 2644, fct: 1644, recvtput: 1.22 Gbps, sendtput: 1.23 Gbps

113, src: h112, dst: h144, sport: 114, dport: 114, flowsize: 20, starttime: 1000, finishtime: 3496, fct: 2496, recvtput: 0.8 Gbps, sendtput: 0.81 Gbps

76, src: h63, dst: h144, sport: 77, dport: 77, flowsize: 20, starttime: 1000, finishtime: 3518, fct: 2518, recvtput: 0.79 Gbps, sendtput: 0.8 Gbps

100, src: h95, dst: h144, sport: 101, dport: 101, flowsize: 20, starttime: 1000, finishtime: 3522, fct: 2522, recvtput: 0.79 Gbps, sendtput: 0.8 Gbps

69, src: h56, dst: h144, sport: 70, dport: 70, flowsize: 20, starttime: 1000, finishtime: 3524, fct: 2524, recvtput: 0.79 Gbps, sendtput: 0.8 Gbps

85, src: h76, dst: h144, sport: 86, dport: 86, flowsize: 20, starttime: 1000, finishtime: 3525, fct: 2525, recvtput: 0.79 Gbps, sendtput: 0.8 Gbps

95, src: h90, dst: h144, sport: 96, dport: 96, flowsize: 20, starttime: 1000, finishtime: 3530, fct: 2530, recvtput: 0.79 Gbps, sendtput: 0.8 Gbps

47, src: h26, dst: h144, sport: 48, dport: 48, flowsize: 20, starttime: 1000, finishtime: 3544, fct: 2544, recvtput: 0.79 Gbps, sendtput: 0.8 Gbps

32, src: h7, dst: h144, sport: 33, dport: 33, flowsize: 20, starttime: 1000, finishtime: 3547, fct: 2547, recvtput: 0.79 Gbps, sendtput: 0.79 Gbps

105, src: h104, dst: h144, sport: 106, dport: 106, flowsize: 20, starttime: 1000, finishtime: 3583, fct: 2583, recvtput: 0.77 Gbps, sendtput: 0.78 Gbps

