queueLength sharedOccupancy averageQueueLength averageOccupancy drop
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
0 0 0.0 0.0 0
1 1 0.0645 0.0645 0
1 1 0.1249 0.1249 0
1 1 0.1813 0.1813 0
2 2 0.2987 0.2987 0
2 2 0.4084 0.4084 0
2 2 0.5111 0.5111 0
3 3 0.6717 0.6717 0
3 3 0.8219 0.8219 0
4 4 1.0269 1.0269 0
4 4 1.2187 1.2187 0
4 4 1.3982 1.3982 0
5 5 1.6306 1.6306 0
5 5 1.8479 1.8479 0
5 5 2.0513 2.0513 0
6 6 2.3061 2.3061 0
6 6 2.5444 2.5444 0
6 6 2.7673 2.7673 0
7 7 3.0404 3.0404 0
7 7 3.2959 3.2959 0
7 7 3.5348 3.5348 0
7 7 3.7584 3.7584 0
7 7 3.9675 3.9675 0
7 7 4.1632 4.1632 0
7 7 4.3462 4.3462 0
7 7 4.5174 4.5174 0
7 7 4.6776 4.6776 0
8 8 4.8919 4.8919 0
7 7 5.0279 5.0279 0
8 8 5.2197 5.2197 0
8 8 5.399 5.399 0
8 8 5.5669 5.5669 0
9 9 5.7883 5.7883 0
8 8 5.931 5.931 0
9 9 6.129 6.129 0
8 8 6.2497 6.2497 0
9 9 6.4272 6.4272 0
9 9 6.5932 6.5932 0
9 9 6.7484 6.7484 0
10 10 6.9582 6.9582 0
10 10 7.1545 7.1545 0
10 10 7.338 7.338 0
11 11 7.5743 7.5743 0
11 11 7.7953 7.7953 0
11 11 8.0021 8.0021 0
12 12 8.26 8.26 0
12 12 8.5013 8.5013 0
12 12 8.727 8.727 0
13 13 9.0027 9.0027 0
13 13 9.2606 9.2606 0
14 14 9.5664 9.5664 0
14 14 9.8524 9.8524 0
14 14 10.12 10.12 0
14 14 10.3703 10.3703 0
14 14 10.6045 10.6045 0
13 13 10.759 10.759 0
12 12 10.8391 10.8391 0
13 13 10.9785 10.9785 0
13 13 11.1089 11.1089 0
13 13 11.2309 11.2309 0
14 14 11.4096 11.4096 0
14 14 11.5767 11.5767 0
14 14 11.733 11.733 0
14 14 11.8793 11.8793 0
14 14 12.0161 12.0161 0
13 13 12.0796 12.0796 0
12 12 12.0745 12.0745 0
11 11 12.0051 12.0051 0
10 10 11.8758 11.8758 0
2 2 11.2386 11.2386 0
1 1 10.5781 10.5781 0
0 0 9.8956 9.8956 0
0 0 9.2572 9.2572 0
0 0 8.66 8.66 0
0 0 8.1012 8.1012 0
0 0 7.5786 7.5786 0
0 0 7.0896 7.0896 0
0 0 6.6322 6.6322 0
0 0 6.2044 6.2044 0
0 0 5.8041 5.8041 0
0 0 5.4296 5.4296 0
0 0 5.0793 5.0793 0
0 0 4.7516 4.7516 0
0 0 4.4451 4.4451 0
0 0 4.1583 4.1583 0
0 0 3.89 3.89 0
0 0 3.639 3.639 0
0 0 3.4043 3.4043 0
0 0 3.1846 3.1846 0
0 0 2.9792 2.9792 0
0 0 2.787 2.787 0
0 0 2.6072 2.6072 0
0 0 2.439 2.439 0
0 0 2.2816 2.2816 0
0 0 2.1344 2.1344 0
0 0 1.9967 1.9967 0
0 0 1.8679 1.8679 0
0 0 1.7474 1.7474 0
0 0 1.6346 1.6346 0
0 0 1.5292 1.5292 0
0 0 1.4305 1.4305 0
0 0 1.3382 1.3382 0
0 0 1.2519 1.2519 0
0 0 1.1711 1.1711 0
0 0 1.0956 1.0956 0
0 0 1.0249 1.0249 0
0 0 0.9588 0.9588 0
0 0 0.8969 0.8969 0
0 0 0.839 0.839 0
0 0 0.7849 0.7849 0
0 0 0.7343 0.7343 0
0 0 0.6869 0.6869 0
0 0 0.6426 0.6426 0
0 0 0.6011 0.6011 0
0 0 0.5623 0.5623 0
0 0 0.5261 0.5261 0
0 0 0.4921 0.4921 0
0 0 0.4604 0.4604 0
0 0 0.4307 0.4307 0
0 0 0.4029 0.4029 0
0 0 0.3769 0.3769 0
0 0 0.3526 0.3526 0
0 0 0.3298 0.3298 0
0 0 0.3086 0.3086 0
0 0 0.2886 0.2886 0
0 0 0.27 0.27 0
0 0 0.2526 0.2526 0
0 0 0.2363 0.2363 0
0 0 0.2211 0.2211 0
0 0 0.2068 0.2068 0
0 0 0.1935 0.1935 0
0 0 0.181 0.181 0
0 0 0.1693 0.1693 0
0 0 0.1584 0.1584 0
0 0 0.1482 0.1482 0
0 0 0.1386 0.1386 0
0 0 0.1297 0.1297 0
0 0 0.1213 0.1213 0
0 0 0.1135 0.1135 0
0 0 0.1061 0.1061 0
0 0 0.0993 0.0993 0
0 0 0.0929 0.0929 0
0 0 0.0869 0.0869 0
0 0 0.0813 0.0813 0
0 0 0.076 0.076 0
0 0 0.0711 0.0711 0
0 0 0.0666 0.0666 0
0 0 0.0623 0.0623 0
0 0 0.0582 0.0582 0
0 0 0.0545 0.0545 0
0 0 0.051 0.051 0
0 0 0.0477 0.0477 0
0 0 0.0446 0.0446 0
0 0 0.0417 0.0417 0
0 0 0.039 0.039 0
0 0 0.0365 0.0365 0
0 0 0.0342 0.0342 0
0 0 0.032 0.032 0
0 0 0.0299 0.0299 0
0 0 0.028 0.028 0
0 0 0.0262 0.0262 0
0 0 0.0245 0.0245 0
0 0 0.0229 0.0229 0
0 0 0.0214 0.0214 0
0 0 0.02 0.02 0
0 0 0.0187 0.0187 0
0 0 0.0175 0.0175 0
0 0 0.0164 0.0164 0
0 0 0.0153 0.0153 0
0 0 0.0144 0.0144 0
0 0 0.0134 0.0134 0
0 0 0.0126 0.0126 0
0 0 0.0118 0.0118 0
0 0 0.011 0.011 0
0 0 0.0103 0.0103 0
0 0 0.0096 0.0096 0
0 0 0.009 0.009 0
0 0 0.0084 0.0084 0
0 0 0.0079 0.0079 0
0 0 0.0074 0.0074 0
