18, src: h51, dst: h132, sport: 19, dport: 19, flowsize: 5000, starttime: 0, finishtime: 16169, fct: 16169, recvtput: 29.92 Gbps, sendtput: 30.97 Gbps

25, src: h36, dst: h139, sport: 26, dport: 26, flowsize: 5000, starttime: 0, finishtime: 16687, fct: 16687, recvtput: 28.96 Gbps, sendtput: 30.04 Gbps

14, src: h98, dst: h143, sport: 15, dport: 15, flowsize: 5000, starttime: 0, finishtime: 16947, fct: 16947, recvtput: 28.5 Gbps, sendtput: 29.54 Gbps

8, src: h2, dst: h137, sport: 9, dport: 9, flowsize: 5000, starttime: 0, finishtime: 17181, fct: 17181, recvtput: 28.1 Gbps, sendtput: 29.16 Gbps

1, src: h17, dst: h130, sport: 2, dport: 2, flowsize: 5000, starttime: 0, finishtime: 17353, fct: 17353, recvtput: 27.81 Gbps, sendtput: 28.86 Gbps

15, src: h3, dst: h129, sport: 16, dport: 16, flowsize: 5000, starttime: 0, finishtime: 18119, fct: 18119, recvtput: 26.6 Gbps, sendtput: 27.63 Gbps

19, src: h67, dst: h133, sport: 20, dport: 20, flowsize: 5000, starttime: 0, finishtime: 19954, fct: 19954, recvtput: 24.06 Gbps, sendtput: 25.09 Gbps

20, src: h83, dst: h134, sport: 21, dport: 21, flowsize: 5000, starttime: 0, finishtime: 20041, fct: 20041, recvtput: 23.95 Gbps, sendtput: 24.98 Gbps

6, src: h97, dst: h135, sport: 7, dport: 7, flowsize: 5000, starttime: 0, finishtime: 20357, fct: 20357, recvtput: 23.56 Gbps, sendtput: 24.59 Gbps

16, src: h19, dst: h130, sport: 17, dport: 17, flowsize: 5000, starttime: 0, finishtime: 20611, fct: 20611, recvtput: 23.26 Gbps, sendtput: 24.3 Gbps

10, src: h34, dst: h139, sport: 11, dport: 11, flowsize: 5000, starttime: 0, finishtime: 21207, fct: 21207, recvtput: 22.58 Gbps, sendtput: 23.6 Gbps

17, src: h35, dst: h131, sport: 18, dport: 18, flowsize: 5000, starttime: 0, finishtime: 21630, fct: 21630, recvtput: 22.12 Gbps, sendtput: 23.15 Gbps

21, src: h99, dst: h135, sport: 22, dport: 22, flowsize: 5000, starttime: 0, finishtime: 21896, fct: 21896, recvtput: 21.84 Gbps, sendtput: 22.87 Gbps

13, src: h82, dst: h142, sport: 14, dport: 14, flowsize: 5000, starttime: 0, finishtime: 24150, fct: 24150, recvtput: 19.7 Gbps, sendtput: 20.72 Gbps

4, src: h65, dst: h133, sport: 5, dport: 5, flowsize: 5000, starttime: 0, finishtime: 25185, fct: 25185, recvtput: 18.85 Gbps, sendtput: 19.88 Gbps

26, src: h52, dst: h140, sport: 27, dport: 27, flowsize: 5000, starttime: 0, finishtime: 27237, fct: 27237, recvtput: 17.36 Gbps, sendtput: 18.37 Gbps

7, src: h113, dst: h136, sport: 8, dport: 8, flowsize: 5000, starttime: 0, finishtime: 28468, fct: 28468, recvtput: 16.56 Gbps, sendtput: 17.58 Gbps

12, src: h66, dst: h141, sport: 13, dport: 13, flowsize: 5000, starttime: 0, finishtime: 30110, fct: 30110, recvtput: 15.61 Gbps, sendtput: 16.62 Gbps

5, src: h81, dst: h134, sport: 6, dport: 6, flowsize: 5000, starttime: 0, finishtime: 35337, fct: 35337, recvtput: 13.15 Gbps, sendtput: 14.16 Gbps

29, src: h100, dst: h143, sport: 30, dport: 30, flowsize: 5000, starttime: 0, finishtime: 40088, fct: 40088, recvtput: 11.47 Gbps, sendtput: 12.48 Gbps

