flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h8,h21,257,257,13
h28,h40,756,756,12
h9,h31,570,570,12
h13,h35,531,531,11
h18,h60,361,361,11
h3,h80,716,716,11
h7,h30,540,540,11
h15,h80,321,321,10
h19,h15,7,7,9
h31,h94,492,492,9
h32,h75,84,84,9
h7,h107,320,320,8
h8,h133,430,430,8
h9,h31,387,387,8
h10,h83,613,613,6
h15,h113,446,446,6
h18,h60,741,741,6
h19,h6,143,143,6
h29,h55,181,181,6
h5,h131,284,284,6
h5,h62,583,583,6
h1,h97,608,608,5
h32,h108,477,477,5
h32,h140,724,724,5
h1,h10,662,662,4
h1,h144,661,661,4
h28,h48,637,637,4
h20,h8,543,543,3
h19,h51,228,228,1
h26,h38,267,267,1
h26,h7,443,443,1
h30,h63,545,545,1
h32,h16,162,162,1
