78, src: h69, dst: h144, sport: 79, dport: 79, flowsize: 20, starttime: 1000, finishtime: 7212, fct: 6212, recvtput: -7.68 Gbps, sendtput: 0.33 Gbps

79, src: h70, dst: h144, sport: 80, dport: 80, flowsize: 20, starttime: 1000, finishtime: 7222, fct: 6222, recvtput: -7.68 Gbps, sendtput: 0.33 Gbps

72, src: h59, dst: h144, sport: 73, dport: 73, flowsize: 20, starttime: 1000, finishtime: 7227, fct: 6227, recvtput: -7.68 Gbps, sendtput: 0.33 Gbps

109, src: h108, dst: h144, sport: 110, dport: 110, flowsize: 20, starttime: 1000, finishtime: 7229, fct: 6229, recvtput: -7.68 Gbps, sendtput: 0.33 Gbps

0, src: h1, dst: h129, sport: 1, dport: 1, flowsize: 5000, starttime: 0, finishtime: 8058, fct: 8058, recvtput: 54.05 Gbps, sendtput: 62.31 Gbps

95, src: h90, dst: h144, sport: 96, dport: 96, flowsize: 20, starttime: 1000, finishtime: 8134, fct: 7134, recvtput: -7.72 Gbps, sendtput: 0.28 Gbps

119, src: h120, dst: h144, sport: 120, dport: 120, flowsize: 20, starttime: 1000, finishtime: 8176, fct: 7176, recvtput: -7.72 Gbps, sendtput: 0.28 Gbps

53, src: h32, dst: h144, sport: 54, dport: 54, flowsize: 20, starttime: 1000, finishtime: 8181, fct: 7181, recvtput: -7.72 Gbps, sendtput: 0.28 Gbps

31, src: h6, dst: h144, sport: 32, dport: 32, flowsize: 20, starttime: 1000, finishtime: 8184, fct: 7184, recvtput: -7.72 Gbps, sendtput: 0.28 Gbps

94, src: h89, dst: h144, sport: 95, dport: 95, flowsize: 20, starttime: 1000, finishtime: 8227, fct: 7227, recvtput: -7.72 Gbps, sendtput: 0.28 Gbps

87, src: h78, dst: h144, sport: 88, dport: 88, flowsize: 20, starttime: 1000, finishtime: 8249, fct: 7249, recvtput: -7.72 Gbps, sendtput: 0.28 Gbps

77, src: h64, dst: h144, sport: 78, dport: 78, flowsize: 20, starttime: 1000, finishtime: 9142, fct: 8142, recvtput: -7.75 Gbps, sendtput: 0.25 Gbps

61, src: h44, dst: h144, sport: 62, dport: 62, flowsize: 20, starttime: 1000, finishtime: 9146, fct: 8146, recvtput: -7.75 Gbps, sendtput: 0.25 Gbps

111, src: h110, dst: h144, sport: 112, dport: 112, flowsize: 20, starttime: 1000, finishtime: 9148, fct: 8148, recvtput: -7.75 Gbps, sendtput: 0.25 Gbps

