reorder_peak,flow_count
75,1
74,0
73,0
72,0
71,0
70,0
69,0
68,0
67,1
66,0
65,0
64,0
63,0
62,0
61,0
60,1
59,0
58,0
57,0
56,0
55,1
54,0
53,1
52,2
51,0
50,4
49,4
48,10
47,4
46,5
45,8
44,8
43,8
42,7
41,7
40,9
39,6
38,9
37,8
36,9
35,8
34,10
33,7
32,8
31,2
30,5
29,7
28,4
27,11
26,14
25,5
24,8
23,7
22,6
21,3
20,7
19,4
18,9
17,3
16,6
15,5
14,7
13,5
12,2
11,4
10,1
9,3
8,3
7,0
6,7
5,3
4,3
3,1
2,0
1,5
0,0
