flow_id_col1,flow_id_col2,flow_id_col4,flow_id_col5,per_flow_max
h16,h55,1921,1921,38
h17,h113,951,951,38
h18,h112,2031,2031,38
h19,h130,293,293,38
h19,h76,328,328,38
h20,h57,185,185,38
h21,h32,1070,1070,38
h24,h106,743,743,38
h26,h16,1163,1163,38
h26,h2,1466,1466,38
h27,h70,291,291,38
h28,h45,2190,2190,38
h29,h23,1174,1174,38
h3,h21,770,770,38
h30,h139,2104,2104,38
h31,h58,113,113,38
h7,h70,830,830,38
h10,h104,2215,2215,37
h11,h26,280,280,37
h14,h39,1199,1199,37
h16,h137,2055,2055,37
h16,h86,2137,2137,37
h19,h11,2194,2194,37
h20,h141,1855,1855,37
h20,h57,1021,1021,37
h23,h35,933,933,37
h25,h114,978,978,37
h26,h117,737,737,37
h26,h14,2183,2183,37
h26,h68,91,91,37
h29,h18,30,30,37
h29,h24,651,651,37
h3,h128,922,922,37
h32,h130,1380,1380,37
h32,h60,701,701,37
h5,h110,1062,1062,37
h8,h58,664,664,37
h9,h32,1631,1631,37
h13,h61,2051,2051,36
h14,h125,1253,1253,36
h15,h7,713,713,36
h16,h60,2172,2172,36
h18,h133,989,989,36
h18,h88,16,16,36
h18,h96,1029,1029,36
h19,h58,920,920,36
h19,h65,431,431,36
h2,h72,1883,1883,36
h23,h22,485,485,36
h24,h23,2179,2179,36
h25,h1,366,366,36
h26,h70,132,132,36
h27,h142,1843,1843,36
h27,h31,2029,2029,36
h27,h90,1114,1114,36
h28,h76,1401,1401,36
h29,h14,2120,2120,36
h29,h47,1012,1012,36
h30,h43,603,603,36
h31,h19,1804,1804,36
h32,h47,2204,2204,36
h32,h64,2076,2076,36
h4,h41,708,708,36
h7,h15,457,457,36
h8,h144,612,612,36
h8,h15,1640,1640,36
h8,h28,758,758,36
h8,h68,571,571,36
h1,h83,1569,1569,35
h11,h87,1968,1968,35
h13,h124,1223,1223,35
h15,h129,330,330,35
h15,h20,254,254,35
h15,h69,720,720,35
h17,h16,162,162,35
h18,h23,1149,1149,35
h2,h24,1946,1946,35
h21,h107,1749,1749,35
h21,h143,1239,1239,35
