54, src: h37, dst: h144, sport: 55, dport: 55, flowsize: 10, starttime: 1000, finishtime: 2178, fct: 1178, recvtput: 0.85 Gbps, sendtput: 0.99 Gbps

91, src: h86, dst: h144, sport: 92, dport: 92, flowsize: 10, starttime: 1000, finishtime: 2196, fct: 1196, recvtput: 0.84 Gbps, sendtput: 0.99 Gbps

41, src: h16, dst: h144, sport: 42, dport: 42, flowsize: 10, starttime: 1000, finishtime: 2204, fct: 1204, recvtput: 0.83 Gbps, sendtput: 0.99 Gbps

57, src: h40, dst: h144, sport: 58, dport: 58, flowsize: 10, starttime: 1000, finishtime: 3039, fct: 2039, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

86, src: h77, dst: h144, sport: 87, dport: 87, flowsize: 10, starttime: 1000, finishtime: 3042, fct: 2042, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

71, src: h58, dst: h144, sport: 72, dport: 72, flowsize: 10, starttime: 1000, finishtime: 3052, fct: 2052, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

34, src: h9, dst: h144, sport: 35, dport: 35, flowsize: 10, starttime: 1000, finishtime: 3054, fct: 2054, recvtput: 0.49 Gbps, sendtput: 0.5 Gbps

104, src: h103, dst: h144, sport: 105, dport: 105, flowsize: 10, starttime: 1000, finishtime: 3065, fct: 2065, recvtput: 0.48 Gbps, sendtput: 0.5 Gbps

42, src: h21, dst: h144, sport: 43, dport: 43, flowsize: 10, starttime: 1000, finishtime: 3069, fct: 2069, recvtput: 0.48 Gbps, sendtput: 0.5 Gbps

68, src: h55, dst: h144, sport: 69, dport: 69, flowsize: 10, starttime: 1000, finishtime: 3098, fct: 2098, recvtput: 0.48 Gbps, sendtput: 0.5 Gbps

72, src: h59, dst: h144, sport: 73, dport: 73, flowsize: 10, starttime: 1000, finishtime: 3113, fct: 2113, recvtput: 0.47 Gbps, sendtput: 0.5 Gbps

63, src: h46, dst: h144, sport: 64, dport: 64, flowsize: 10, starttime: 1000, finishtime: 3134, fct: 2134, recvtput: 0.47 Gbps, sendtput: 0.5 Gbps

