68, src: h71, dst: h144, sport: 69, dport: 69, flowsize: 10, starttime: 1000, finishtime: 2426, fct: 1426, recvtput: -0.3 Gbps, sendtput: 0.73 Gbps

73, src: h76, dst: h144, sport: 74, dport: 74, flowsize: 10, starttime: 1000, finishtime: 2427, fct: 1427, recvtput: -0.3 Gbps, sendtput: 0.73 Gbps

70, src: h73, dst: h144, sport: 71, dport: 71, flowsize: 10, starttime: 1000, finishtime: 2428, fct: 1428, recvtput: -0.3 Gbps, sendtput: 0.73 Gbps

75, src: h85, dst: h144, sport: 76, dport: 76, flowsize: 10, starttime: 1000, finishtime: 2429, fct: 1429, recvtput: -0.3 Gbps, sendtput: 0.73 Gbps

77, src: h87, dst: h144, sport: 78, dport: 78, flowsize: 10, starttime: 1000, finishtime: 2430, fct: 1430, recvtput: -0.3 Gbps, sendtput: 0.72 Gbps

76, src: h86, dst: h144, sport: 77, dport: 77, flowsize: 10, starttime: 1000, finishtime: 2431, fct: 1431, recvtput: -0.3 Gbps, sendtput: 0.72 Gbps

97, src: h119, dst: h144, sport: 98, dport: 98, flowsize: 10, starttime: 1000, finishtime: 2433, fct: 1433, recvtput: -0.3 Gbps, sendtput: 0.72 Gbps

92, src: h109, dst: h144, sport: 93, dport: 93, flowsize: 10, starttime: 1000, finishtime: 2435, fct: 1435, recvtput: -0.3 Gbps, sendtput: 0.72 Gbps

65, src: h61, dst: h144, sport: 66, dport: 66, flowsize: 10, starttime: 1000, finishtime: 2436, fct: 1436, recvtput: -0.3 Gbps, sendtput: 0.72 Gbps

80, src: h90, dst: h144, sport: 81, dport: 81, flowsize: 10, starttime: 1000, finishtime: 2438, fct: 1438, recvtput: -0.3 Gbps, sendtput: 0.72 Gbps

82, src: h92, dst: h144, sport: 83, dport: 83, flowsize: 10, starttime: 1000, finishtime: 2440, fct: 1440, recvtput: -0.31 Gbps, sendtput: 0.72 Gbps

101, src: h123, dst: h144, sport: 102, dport: 102, flowsize: 10, starttime: 1000, finishtime: 2441, fct: 1441, recvtput: -0.31 Gbps, sendtput: 0.72 Gbps

98, src: h120, dst: h144, sport: 10, dport: 10, flowsize: 10, starttime: 1000, finishtime: 2443, fct: 1443, recvtput: -0.31 Gbps, sendtput: 0.72 Gbps

85, src: h102, dst: h144, sport: 86, dport: 86, flowsize: 10, starttime: 1000, finishtime: 2444, fct: 1444, recvtput: -0.31 Gbps, sendtput: 0.72 Gbps

102, src: h124, dst: h144, sport: 103, dport: 103, flowsize: 10, starttime: 1000, finishtime: 2446, fct: 1446, recvtput: -0.31 Gbps, sendtput: 0.71 Gbps

54, src: h43, dst: h144, sport: 55, dport: 55, flowsize: 10, starttime: 1000, finishtime: 2448, fct: 1448, recvtput: -0.31 Gbps, sendtput: 0.71 Gbps

36, src: h11, dst: h144, sport: 37, dport: 37, flowsize: 10, starttime: 1000, finishtime: 2452, fct: 1452, recvtput: -0.31 Gbps, sendtput: 0.71 Gbps

41, src: h23, dst: h144, sport: 42, dport: 42, flowsize: 10, starttime: 1000, finishtime: 2454, fct: 1454, recvtput: -0.31 Gbps, sendtput: 0.71 Gbps

96, src: h118, dst: h144, sport: 97, dport: 97, flowsize: 10, starttime: 1000, finishtime: 2474, fct: 1474, recvtput: -0.32 Gbps, sendtput: 0.69 Gbps

74, src: h77, dst: h144, sport: 75, dport: 75, flowsize: 10, starttime: 1000, finishtime: 2478, fct: 1478, recvtput: -0.32 Gbps, sendtput: 0.69 Gbps

35, src: h10, dst: h144, sport: 36, dport: 36, flowsize: 10, starttime: 1000, finishtime: 3122, fct: 2122, recvtput: -0.53 Gbps, sendtput: 0.48 Gbps

42, src: h24, dst: h144, sport: 43, dport: 43, flowsize: 10, starttime: 1000, finishtime: 3129, fct: 2129, recvtput: -0.53 Gbps, sendtput: 0.48 Gbps

83, src: h93, dst: h144, sport: 84, dport: 84, flowsize: 10, starttime: 1000, finishtime: 3137, fct: 2137, recvtput: -0.53 Gbps, sendtput: 0.48 Gbps

51, src: h40, dst: h144, sport: 52, dport: 52, flowsize: 10, starttime: 1000, finishtime: 3140, fct: 2140, recvtput: -0.53 Gbps, sendtput: 0.48 Gbps

103, src: h125, dst: h144, sport: 104, dport: 104, flowsize: 10, starttime: 1000, finishtime: 3147, fct: 2147, recvtput: -0.53 Gbps, sendtput: 0.47 Gbps

91, src: h108, dst: h144, sport: 92, dport: 92, flowsize: 10, starttime: 1000, finishtime: 3152, fct: 2152, recvtput: -0.54 Gbps, sendtput: 0.47 Gbps

99, src: h121, dst: h144, sport: 100, dport: 100, flowsize: 10, starttime: 1000, finishtime: 3158, fct: 2158, recvtput: -0.54 Gbps, sendtput: 0.47 Gbps

49, src: h38, dst: h144, sport: 50, dport: 50, flowsize: 10, starttime: 1000, finishtime: 3176, fct: 2176, recvtput: -0.54 Gbps, sendtput: 0.47 Gbps

72, src: h75, dst: h144, sport: 73, dport: 73, flowsize: 10, starttime: 1000, finishtime: 3179, fct: 2179, recvtput: -0.54 Gbps, sendtput: 0.47 Gbps

84, src: h101, dst: h144, sport: 85, dport: 85, flowsize: 10, starttime: 1000, finishtime: 3181, fct: 2181, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

46, src: h28, dst: h144, sport: 47, dport: 47, flowsize: 10, starttime: 1000, finishtime: 3184, fct: 2184, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

64, src: h60, dst: h144, sport: 65, dport: 65, flowsize: 10, starttime: 1000, finishtime: 3185, fct: 2185, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

55, src: h44, dst: h144, sport: 56, dport: 56, flowsize: 10, starttime: 1000, finishtime: 3187, fct: 2187, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

59, src: h55, dst: h144, sport: 60, dport: 60, flowsize: 10, starttime: 1000, finishtime: 3191, fct: 2191, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

61, src: h57, dst: h144, sport: 62, dport: 62, flowsize: 10, starttime: 1000, finishtime: 3194, fct: 2194, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

67, src: h70, dst: h144, sport: 68, dport: 68, flowsize: 10, starttime: 1000, finishtime: 3197, fct: 2197, recvtput: -0.54 Gbps, sendtput: 0.46 Gbps

31, src: h6, dst: h144, sport: 32, dport: 32, flowsize: 10, starttime: 1000, finishtime: 3215, fct: 2215, recvtput: -0.55 Gbps, sendtput: 0.46 Gbps

